availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft,price_category,estimated_monthly_rent,annual_rent,rental_yield,future_price_5yr,roi_5yr,sqft_scaled,price_sqft_scaled,investment_score
19-Dec,Electronic City Phase II,1056.0,2.0,1.0,39.07,2,3699.810606060606,Budget,19535.0,234420.0,6.0,52.28447331683201,33.82255776000003,0.01454629415839298,0.01947745213248349,0.40093679564204243
Ready To Move,Chikka Tirupathi,2600.0,5.0,3.0,120.0,4,4615.384615384615,Premium,60000.0,720000.0,6.0,160.58706931200004,33.82255776000003,0.044254598630031554,0.024673591043834625,0.4166833227604851
Ready To Move,Uttarahalli,1440.0,2.0,3.0,62.0,3,4305.555555555556,Mid-Range,31000.0,372000.0,6.0,82.96998581120002,33.82255776000003,0.021934888016624337,0.022915224361021343,0.4039948430655661
Ready To Move,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3,6245.890861275477,Mid-Range,47500.0,570000.0,6.0,127.13142987200003,33.822557760000024,0.023493419533595013,0.033927170615987295,0.4005251834737621
Ready To Move,Kothanur,1200.0,2.0,1.0,51.0,2,4250.0,Mid-Range,25500.0,306000.0,6.0,68.24950445760001,33.822557760000024,0.01731701685522974,0.022599931024792755,0.40135023770322076
Ready To Move,Whitefield,1170.0,2.0,1.0,38.0,2,3247.863247863248,Budget,19000.0,228000.0,6.0,50.85257194880001,33.82255776000003,0.016739782960055415,0.016912524305900133,0.4032788600536732
18-May,Old Airport Road,2732.0,4.0,,204.0,4,7467.0571010248905,Luxury,102000.0,1224000.0,6.0,272.99801783040004,33.822557760000024,0.04679442776879858,0.04085763101675294,0.41173360425457795
Ready To Move,Rajaji Nagar,3300.0,4.0,,600.0,4,18181.81818181818,Luxury,300000.0,3600000.0,6.0,802.9353465600002,33.82255776000003,0.057723389517432465,0.10166690084175298,0.3939672733737583
Ready To Move,Marathahalli,1310.0,3.0,1.0,63.25,3,4828.244274809161,Mid-Range,31625.0,379500.0,6.0,84.64276778320001,33.822557760000024,0.019433541137535596,0.02588162922286666,0.4013074729933747
18-Feb,Whitefield,1800.0,2.0,2.0,70.0,3,3888.8888888888887,Mid-Range,35000.0,420000.0,6.0,93.67579043200001,33.822557760000024,0.028861694758716232,0.020550524339306923,0.40909680711950697
